WORD_KOR WORD_ENG WORD_ENG_DESC WORD_KOR_DESC
연혁 HIST history 
고저 HILO High low 
 HIST HIST HISTORY 
감춤 HID HIDDEN 
시분 HHMM hour and minute 
 HISTORY HISTORY HISTORY 
건강 HLTH HEALTH 
 HEDGE HEDGE HEDGE 
인적 HMAN human 
장애인 HMAN Handicaped Man 
무주택 HMLSS HOMELESS 
 HEAD HEAD HEADER 
수작업 HDWK HAND WORK 
보유세 HDTX holding tax 
인계 HDOV HAND OVER 
히든 HDN HIDDEN 
고향 HMTW HOME TOWN 
수어음 HBIL HAND BILL 
고액 HAMT HIGH AMOUNT 
호 HO ho 
취미 HOBY hobby 
 HOL HOL HOL 
당 PER PER 
지주 HOLD holding 
 HOLD HOLD HOLD 
타개 BRK BREAK 
 HOLDER HOLDER HOLDER 
연락 CNTC contact 
자택 HOME home 
 CONSTRAINT CNST CONSTRAINT 
존칭 HON honorably 
승낙 CNSN consent 
희망 HOPE hope 
 HOST HOST HOST 
주택 HOUS house 
 HOUSE HOUSE HOUSE 
연결B CNSD consolidation 
사정가 CNDT_PR condition price 
고수익 HPR high Profit 
본부 HQ headquarters 
 5레벨 LVL5 5 LEVEL 
 6레벨 LVL6 6 LEVEL 
 7레벨 LVL7 7 LEVEL 
 8레벨 LVL8 8 LEVEL 
생계형 LVLH LIVELIHOOD 
압축 CMPR compression 
구성비 CMPR Component ratio 
인하 LWRN LOWERING 
동호회 CLUB CLUB 
최하위 LWST Lowest 
폐업 CLSE close 
 4종 CLS4 4TH CLASS 
 M3 M3 한국은행 통화지표 M1 M2 M3 
 2종 CLS2 2TH CLASS 
 MAC MAC MAC 
마감전 CLS_BF close before 
주계좌 MACC Main ACCOUNT 
기계 MACH machine 
 CLOSE CLOSE CLOSE 
카탈로그 CLOG CATALOG 
산입 INCL inclusion 
부대 INCD incidential 
소득 INC income 
 IN IN IN 
내 IN IN 
불가 IMPT impropriety 
 MAIN MAIN main 
 MAINTE MAINTE MAINTE 
전공 MAJR major 
작성 MAKE make 
제작 MAKE make 
제조 MAKE make 
프로젝트금융 PRJF project finance 
 PRIMARY PRIMARY PRIMARY 
 PRICES PRICES PRICES 
 PRICE PRICE PRICE 
중도금 MAMT mid amount 
제조사 MAN the manufacture 
 MANAGER MANAGER MANAGER 
 MANUAL MANUAL MANUAL 
매핑 MAP MAPPING 
 MAP MAP MAPPING 
 MAPPER MAPPER MAPPER 
 MAPPING MAPPING MAPPING 
표시자 MARK_MN mark man 
 MARKET MARKET MARKET 
해운 MARN MARINE 
 MASK MASK mask 
 BACKUP BKUP BACKUP 
 MATURED MATURED MATURED 
 MATURITY MATURITY MATURITY 
계산서 BILL bill 
 BID BID BID 
 MAX MAX MAX 
예산번호 BGNO a registration number of budget 
이동통신사 MBCP Mobile Company 
유휴국 MBID Mobile Identification 
기어음 MBIL MACHINE BILL 
모바일 MBL MOBILE 
 BEFORE BEFORE BEFORE 
대손상각비 BDRC Bad Debt Refund Cost 
기장 BDG BADGE 
대손 BDEB bad debt 
 DW DW Data Warehouse 
다우존스 DWJN Dow Jones 
 BB BB B2B 
대우증권 DWSC Daewoo Securities Co.  Ltd. 
 BASKET BASKET BASKET 
 BASIS BASIS BASIS 
동태 DYST DAYNAMIC STATE 
 BASE BASE BASE 
기초 BASE base 
기준 BASE base 
실시협약 EAGR execution agree 
근거 BASE base 
조기 EARL earlier 
대지 EART earth 
대지면적 EART_AREA earth area 
 EASTER EASTER EASTER 
 BAL BAL BALANCE 
 BACK BACK BACK 
 PREMIUM PREMIUM PREMIUM 
거래처구분 CLNT_TYPE client type 
거래처명 CLNT_NM A CLIENT'S NAME 
구상 CLM claim 
콜론 CLLN CALL LOAN 
